Isotope,Energy (keV),XS (mb),Info
14N,767.8,0.046724997045812615,"(n,g)14N"
14N,3269.2,0.04579499710461185,"(n,g)14N"
14N,10061.9,0.042989997281957924,"(n,g)14N"
14N,9757.1,0.04205249734123135,"(n,g)14N"
14N,3880.9,0.03644999769544933,"(n,g)14N"
14N,2293.2,0.03364499787279541,"(n,g)14N"
14N,3923.9,0.028034998227487565,"(n,g)14N"
14N,831.2,0.023362498522906307,"(n,g)14N"
14N,4654.1,0.021494998640978962,"(n,g)14N"
14N,2898.4,0.016822498936397704,"(n,g)14N"
14N,608.3,0.016822498936397704,"(n,g)14N"
14N,2726.0,0.01495499905447036,"(n,g)14N"
14N,9219.5,0.014017499113743783,"(n,g)14N"
14N,131.4,0.014017499113743783,"(n,g)14N"
14N,1025.2,0.012149999231816443,"(n,g)14N"
14N,2247.4,0.011212499291089867,"(n,g)14N"
14N,1053.9,0.011212499291089867,"(n,g)14N"
14N,770.4,0.0074767495272826,"(n,g)14N"
14N,10697.8,0.0074767495272826,"(n,g)14N"
14N,383.0,0.0056077496454500966,"(n,g)14N"
16O,870.8,0.19,"(n,g)16O"
16O,2184.2,0.16226000000000002,"(n,g)16O"
16O,1088.0,0.16226000000000002,"(n,g)16O"
16O,3272.2,0.027739999999999997,"(n,g)16O"
180Ta,482.18,385625.4501065402,"(n,g)180Ta"
180Ta,136.87,161693.40626684338,"(n,g)180Ta"
180Ta,133.03,124608.13737178169,"(n,g)180Ta"
180Ta,136.27,119582.24138599997,"(n,g)180Ta"
180Ta,345.92,76036.48697611819,"(n,g)180Ta"
180Ta,6.24,67033.64454684452,"(n,g)180Ta"
180Ta,152.31,6221.095274072065,"(n,g)180Ta"
180Ta,475.94,4333.287894720331,"(n,g)180Ta"
180Ta,165.35,3970.8803157546113,"(n,g)180Ta"
180Ta,301.62,813.9815177239398,"(n,g)180Ta"
180Ta,619.05,601.9537221920883,"(n,g)180Ta"
180Ta,178.99,210.83388437618422,"(n,g)180Ta"
180Ta,331.3,210.83388437618422,"(n,g)180Ta"
180Ta,615.21,187.81737833353566,"(n,g)180Ta"
180Ta,193.57,163.19927670438855,"(n,g)180Ta"
180Ta,358.92,103.93614524208627,"(n,g)180Ta"
180Ta,204.97,6.866087117411496,"(n,g)180Ta"
180Ta,383.96,6.866087117411496,"(n,g)180Ta"
181Ta,16.26,8560.843961077659,"(n,g)181Ta"
181Ta,133.88,4894.988575144273,"(n,g)181Ta"
181Ta,97.83,3990.4808110360245,"(n,g)181Ta"
181Ta,114.32,2826.302797004469,"(n,g)181Ta"
181Ta,99.83,1733.7020631674302,"(n,g)181Ta"
181Ta,75.41,1150.4410787075851,"(n,g)181Ta"
181Ta,270.4,950.9622515996588,"(n,g)181Ta"
