Isotope,Energy (keV),XS (mb),Info
185Re,133.88,0.24103645088599995,"(n,a)185Re"
185Re,97.83,0.240200802226,"(n,a)185Re"
185Re,114.32,0.14512316680399998,"(n,a)185Re"
185Re,75.41,0.09770333776279999,"(n,a)185Re"
185Re,99.83,0.08680018034379999,"(n,a)185Re"
185Re,270.4,0.05840549597959999,"(n,a)185Re"
185Re,118.9,0.051590134010799996,"(n,a)185Re"
185Re,139.46,0.047027824197199995,"(n,a)185Re"
185Re,122.97,0.0331153094426,"(n,a)185Re"
185Re,156.09,0.013450312768199997,"(n,a)185Re"
185Re,58.93,0.010481141570899997,"(n,a)185Re"
185Re,106.0,0.007170140291159999,"(n,a)185Re"
185Re,237.29,0.0017964481519599997,"(n,a)185Re"
185Re,252.77,0.0010367632074799998,"(n,a)185Re"
185Re,233.71,0.0009764993324239999,"(n,a)185Re"
185Re,150.14,0.00046997166046599994,"(n,a)185Re"
185Re,172.57,0.00040138826912799997,"(n,a)185Re"
185Re,249.97,7.731156570059999e-05,"(n,a)185Re"
187Re,47.9,0.30061897066394994,"(n,a)187Re"
187Re,41.4,0.1986627525838,"(n,a)187Re"
187Re,139.1,0.13530407361445002,"(n,a)187Re"
187Re,43.9,0.10438986823330001,"(n,a)187Re"
187Re,181.0,0.04811769457476,"(n,a)187Re"
187Re,344.9,0.029936743292584996,"(n,a)187Re"
78Kr,112.39,25.67126193,"(n,a)78Kr"
78Kr,20.65,15.805425687,"(n,a)78Kr"
78Kr,286.57,11.321306271749998,"(n,a)78Kr"
78Kr,141.31,3.2064624832499993,"(n,a)78Kr"
78Kr,6.53,2.790750572625,"(n,a)78Kr"
78Kr,427.88,2.0479940688,"(n,a)78Kr"
78Kr,377.38,1.4052560780999999,"(n,a)78Kr"
78Kr,319.76,1.30310927595,"(n,a)78Kr"
78Kr,292.85,1.1545276019999997,"(n,a)78Kr"
78Kr,610.71,1.1239214436,"(n,a)78Kr"
78Kr,516.04,1.0506789869249997,"(n,a)78Kr"
78Kr,461.08,0.4637544673574999,"(n,a)78Kr"
78Kr,136.94,0.37014459999750005,"(n,a)78Kr"
78Kr,315.5,0.3678985968299999,"(n,a)78Kr"
78Kr,236.07,0.2969533108275,"(n,a)78Kr"
78Kr,628.43,0.28339490876999995,"(n,a)78Kr"
78Kr,133.04,0.25765187755499996,"(n,a)78Kr"
78Kr,747.65,0.1743072080925,"(n,a)78Kr"
78Kr,635.26,0.171766329915,"(n,a)78Kr"
78Kr,317.61,0.1149108323025,"(n,a)78Kr"
78Kr,299.38,0.105223350675,"(n,a)78Kr"
78Kr,495.39,0.0947927127825,"(n,a)78Kr"
78Kr,551.57,0.08111739081,"(n,a)78Kr"
78Kr,585.95,0.0654963558675,"(n,a)78Kr"
78Kr,83.69,0.04036507958775,"(n,a)78Kr"
78Kr,341.86,0.034184268811499996,"(n,a)78Kr"
78Kr,663.96,0.023770815114,"(n,a)78Kr"
78Kr,370.85,0.0059486027227499995,"(n,a)78Kr"
78Kr,324.14,0.002816061881025,"(n,a)78Kr"
