Isotope,Energy (keV),XS (mb),Info
123Xe,331.18,1007.764961675,"(n,2n)123Xe"
123Xe,497.12,538.04351211,"(n,2n)123Xe"
123Xe,638.27,233.3774527475,"(n,2n)123Xe"
123Xe,1385.12,103.44808346375,"(n,2n)123Xe"
123Xe,511.9,101.64607098124999,"(n,2n)123Xe"
123Xe,882.86,78.90960723374998,"(n,2n)123Xe"
123Xe,574.2,59.768629860249995,"(n,2n)123Xe"
123Xe,843.08,50.08656240724999,"(n,2n)123Xe"
123Xe,560.34,38.66545738175,"(n,2n)123Xe"
123Xe,370.96,28.81710030875,"(n,2n)123Xe"
123Xe,873.22,25.555761944749996,"(n,2n)123Xe"
123Xe,559.42,19.695391897,"(n,2n)123Xe"
123Xe,1494.88,14.315749004749998,"(n,2n)123Xe"
123Xe,946.08,13.414731557999998,"(n,2n)123Xe"
123Xe,818.12,10.584752278149999,"(n,2n)123Xe"
123Xe,385.74,8.996554742525,"(n,2n)123Xe"
123Xe,1163.7,8.741095115175,"(n,2n)123Xe"
123Xe,666.58,6.630032701575001,"(n,2n)123Xe"
123Xe,307.81,5.0625642204,"(n,2n)123Xe"
123Xe,371.88,3.5987510964249996,"(n,2n)123Xe"
124Xe,97.3,746.750349984,"(n,2n)124Xe"
124Xe,83.29,655.0889050560002,"(n,2n)124Xe"
124Xe,4.59,462.505606944,"(n,2n)124Xe"
124Xe,21.06,318.02466873599997,"(n,2n)124Xe"
124Xe,56.9,168.98055023999999,"(n,2n)124Xe"
124Xe,71.31,96.38073024,"(n,2n)124Xe"
124Xe,306.99,47.269013721600004,"(n,2n)124Xe"
124Xe,286.39,31.801794393599994,"(n,2n)124Xe"
124Xe,180.59,25.137028924800003,"(n,2n)124Xe"
124Xe,437.44,18.6262524096,"(n,2n)124Xe"
124Xe,340.14,18.593601264,"(n,2n)124Xe"
124Xe,261.82,12.3155386944,"(n,2n)124Xe"
124Xe,215.08,6.29418057024,"(n,2n)124Xe"
124Xe,77.96,5.5035785615999995,"(n,2n)124Xe"
124Xe,130.45,5.10308130432,"(n,2n)124Xe"
124Xe,442.41,3.37592446944,"(n,2n)124Xe"
124Xe,209.69,2.92165122816,"(n,2n)124Xe"
124Xe,66.72,2.84673381792,"(n,2n)124Xe"
124Xe,345.11,1.3861915420800002,"(n,2n)124Xe"
180Ta,30.7,798.5154861787502,"(n,2n)180Ta"
180Ta,133.78,568.5332906565002,"(n,2n)180Ta"
180Ta,150.09,510.09665500125,"(n,2n)180Ta"
180Ta,238.56,366.20665391925,"(n,2n)180Ta"
180Ta,160.87,303.95346600150003,"(n,2n)180Ta"
180Ta,175.4,289.31118468525005,"(n,2n)180Ta"
180Ta,186.6,158.34839857875002,"(n,2n)180Ta"
180Ta,105.39,149.71011657075005,"(n,2n)180Ta"
180Ta,347.47,81.95538630622501,"(n,2n)180Ta"
180Ta,133.24,65.0207509074,"(n,2n)180Ta"
180Ta,281.67,46.37093766165001,"(n,2n)180Ta"
180Ta,294.65,32.4575823483,"(n,2n)180Ta"
180Ta,325.49,14.423756582947501,"(n,2n)180Ta"
180Ta,238.63,1.6991550177930004,"(n,2n)180Ta"
181Ta,39.67,901.4546101312499,"(n,2n)181Ta"
181Ta,71.2,809.3112756312498,"(n,2n)181Ta"
181Ta,100.55,447.3736874249999,"(n,2n)181Ta"
181Ta,147.13,338.86653286875,"(n,2n)181Ta"
181Ta,74.16,302.2263648937499,"(n,2n)181Ta"
181Ta,107.85,253.77118808749998,"(n,2n)181Ta"
181Ta,22.7,157.43747018,"(n,2n)181Ta"
181Ta,63.2,129.83735070187498,"(n,2n)181Ta"
181Ta,40.73,121.002869874375,"(n,2n)181Ta"
181Ta,63.43,84.43025881124998,"(n,2n)181Ta"
185Re,104.73,505.27599660450005,"(n,2n)185Re"
185Re,74.0,239.18715849900002,"(n,2n)185Re"
185Re,56.0,215.62179443250002,"(n,2n)185Re"
185Re,236.0,137.51171248705,"(n,2n)185Re"
185Re,94.0,137.51171248705,"(n,2n)185Re"
185Re,86.0,118.6484552153,"(n,2n)185Re"
185Re,142.0,118.6484552153,"(n,2n)185Re"
185Re,107.0,106.74527100459999,"(n,2n)185Re"
185Re,243.27,106.74527100459999,"(n,2n)185Re"
185Re,136.27,105.32812240189999,"(n,2n)185Re"
185Re,167.0,105.32812240189999,"(n,2n)185Re"
185Re,237.0,34.42663181725,"(n,2n)185Re"
185Re,206.27,34.42663181725,"(n,2n)185Re"
185Re,196.0,28.527120548350005,"(n,2n)185Re"
185Re,252.0,28.527120548350005,"(n,2n)185Re"
187Re,59.01,1357.78951717675,"(n,2n)187Re"
187Re,40.35,979.8877923327501,"(n,2n)187Re"
187Re,74.57,735.0109557405001,"(n,2n)187Re"
187Re,12.07,489.89050848175,"(n,2n)187Re"
187Re,87.26,230.08234202825003,"(n,2n)187Re"
187Re,122.52,77.567066147675,"(n,2n)187Re"
187Re,214.65,62.20929237035,"(n,2n)187Re"
187Re,99.7,40.8067280091,"(n,2n)187Re"
187Re,255.0,32.388048548650005,"(n,2n)187Re"
187Re,111.34,27.066491482425,"(n,2n)187Re"
187Re,127.35,25.536347209949998,"(n,2n)187Re"
187Re,99.36,19.9742449636325,"(n,2n)187Re"
187Re,103.31,19.5582468725375,"(n,2n)187Re"
187Re,174.27,13.918495030957502,"(n,2n)187Re"
187Re,64.42,11.587993694260001,"(n,2n)187Re"
187Re,151.69,10.952394260407502,"(n,2n)187Re"
187Re,210.7,6.9864407909700015,"(n,2n)187Re"
187Re,167.74,5.0284988619125,"(n,2n)187Re"
187Re,169.44,3.8328641819650002,"(n,2n)187Re"
187Re,209.79,2.2943093921349997,"(n,2n)187Re"
187Re,146.27,0.9562670557845,"(n,2n)187Re"
204Pb,896.88,321.895993667503,"(n,2n)204Pb"
204Pb,334.8,234.22088357378829,"(n,2n)204Pb"
204Pb,262.8,174.24826922060086,"(n,2n)204Pb"
204Pb,264.17,157.57239826869383,"(n,2n)204Pb"
204Pb,126.51,142.27499107717068,"(n,2n)204Pb"
204Pb,820.33,130.00831854368212,"(n,2n)204Pb"
204Pb,1592.9,88.02953363947894,"(n,2n)204Pb"
204Pb,1198.61,68.54085086724312,"(n,2n)204Pb"
204Pb,933.32,66.9738645641677,"(n,2n)204Pb"
204Pb,838.6,66.61878367560163,"(n,2n)204Pb"
204Pb,59.99,65.88944590568114,"(n,2n)204Pb"
204Pb,186.5,54.72095789506453,"(n,2n)204Pb"
204Pb,722.44,51.46774822818091,"(n,2n)204Pb"
204Pb,1203.09,48.62383248232113,"(n,2n)204Pb"
204Pb,816.2,46.9601609714552,"(n,2n)204Pb"
204Pb,866.61,38.474469246110274,"(n,2n)204Pb"
204Pb,595.11,32.85256785686232,"(n,2n)204Pb"
204Pb,1033.83,28.419199335656025,"(n,2n)204Pb"
204Pb,847.33,26.87037249274182,"(n,2n)204Pb"
204Pb,1536.43,25.394655431983832,"(n,2n)204Pb"
204Pb,468.6,19.498388723372173,"(n,2n)204Pb"
204Pb,100.51,18.698090047318942,"(n,2n)204Pb"
204Pb,772.57,16.725957008526393,"(n,2n)204Pb"
204Pb,378.28,14.542195776853434,"(n,2n)204Pb"
204Pb,559.07,13.199110375089512,"(n,2n)204Pb"
204Pb,740.1,9.683801766268935,"(n,2n)204Pb"
204Pb,136.95,8.89292506083824,"(n,2n)204Pb"
204Pb,775.0,7.8851607525363026,"(n,2n)204Pb"
