Isotope,Energy (keV),XS (mb),Info
103Rh,557.05,9.390312765702,"(n,n')103Rh"
103Rh,1115.91,8.613252018999997,"(n,n')103Rh"
103Rh,1293.45,8.038645755000001,"(n,n')103Rh"
103Rh,1045.89,7.999251408000001,"(n,n')103Rh"
103Rh,1053.48,7.870676271999999,"(n,n')103Rh"
103Rh,508.09,7.8245168726847005,"(n,n')103Rh"
103Rh,1108.32,7.691708592,"(n,n')103Rh"
103Rh,687.46,7.3239665143999995,"(n,n')103Rh"
103Rh,740.74,6.7362494856,"(n,n')103Rh"
103Rh,499.25,6.440377915999998,"(n,n')103Rh"
103Rh,114.96,6.165932702499999,"(n,n')103Rh"
103Rh,552.6,5.937484913658,"(n,n')103Rh"
103Rh,808.06,5.723787361999999,"(n,n')103Rh"
103Rh,1124.57,5.7175497029999995,"(n,n')103Rh"
103Rh,984.71,4.593363242999999,"(n,n')103Rh"
103Rh,982.06,3.782636328,"(n,n')103Rh"
103Rh,1437.57,3.7383230720000005,"(n,n')103Rh"
103Rh,880.47,3.556883967,"(n,n')103Rh"
103Rh,1135.9,3.5435654100000007,"(n,n')103Rh"
103Rh,1133.81,3.525867674,"(n,n')103Rh"
103Rh,540.91,3.3961461449999994,"(n,n')103Rh"
103Rh,936.04,2.962622145,"(n,n')103Rh"
103Rh,687.18,2.8640406379999996,"(n,n')103Rh"
103Rh,1171.72,2.7278615770000005,"(n,n')103Rh"
103Rh,1085.49,2.716898343999999,"(n,n')103Rh"
103Rh,72.52,2.7069800519999996,"(n,n')103Rh"
103Rh,960.73,2.4599310750000005,"(n,n')103Rh"
103Rh,473.97,2.28031268,"(n,n')103Rh"
103Rh,919.63,2.270252477,"(n,n')103Rh"
103Rh,1490.85,2.2156692360000005,"(n,n')103Rh"
103Rh,1255.71,2.053703925,"(n,n')103Rh"
103Rh,728.42,1.8894082456301757,"(n,n')103Rh"
103Rh,678.91,1.7944275090000004,"(n,n')103Rh"
103Rh,874.53,1.604708301,"(n,n')103Rh"
103Rh,445.66,1.5258273092988,"(n,n')103Rh"
103Rh,691.78,1.1940591,"(n,n')103Rh"
103Rh,1187.0,1.032162834,"(n,n')103Rh"
103Rh,1481.98,0.8006602290000001,"(n,n')103Rh"
103Rh,163.74,0.492599124049824,"(n,n')103Rh"
103Rh,945.14,0.343301424,"(n,n')103Rh"
103Rh,443.8,0.24700392486295214,"(n,n')103Rh"
103Rh,317.65,0.17196599531893678,"(n,n')103Rh"
103Rh,651.8,0.1071845575,"(n,n')103Rh"
103Rh,703.19,0.08406436968,"(n,n')103Rh"
103Rh,42.64,0.05938537717439999,"(n,n')103Rh"
103Rh,113.25,0.05196220502759999,"(n,n')103Rh"
103Rh,866.93,0.031918480320000005,"(n,n')103Rh"
103Rh,292.68,0.029692688587199995,"(n,n')103Rh"
103Rh,241.86,0.01335156350610552,"(n,n')103Rh"
104Pd,555.81,1435.5776602372753,"(n,n')104Pd"
104Pd,767.78,191.34068324851128,"(n,n')104Pd"
104Pd,785.87,186.4765226443677,"(n,n')104Pd"
104Pd,1341.68,160.3700463200827,"(n,n')104Pd"
104Pd,1237.05,132.35618413411115,"(n,n')104Pd"
104Pd,777.78,102.73420537337738,"(n,n')104Pd"
104Pd,1264.84,101.11928544078658,"(n,n')104Pd"
104Pd,1794.3,97.9595238294782,"(n,n')104Pd"
104Pd,332.64,87.20160474994496,"(n,n')104Pd"
104Pd,1999.1,66.56760149640283,"(n,n')104Pd"
104Pd,1689.09,53.26264519234485,"(n,n')104Pd"
104Pd,1238.49,32.2135211003023,"(n,n')104Pd"
104Pd,1581.19,28.543103442272827,"(n,n')104Pd"
104Pd,1443.29,25.050737997218057,"(n,n')104Pd"
104Pd,478.97,24.26856940501758,"(n,n')104Pd"
104Pd,857.97,20.7105433047701,"(n,n')104Pd"
