Isotope,Energy (keV),XS (mb),Info
10B,3368.03,23.523078263990378,"(n,p)10B"
10B,2895.27,5.849553932306284,"(n,p)10B"
10B,2590.36,5.540812201183451,"(n,p)10B"
10B,5959.9,3.1399525383500317,"(n,p)10B"
10B,2811.27,0.8981137621550086,"(n,p)10B"
10B,2591.87,0.6431227765664514,"(n,p)10B"
10B,5958.39,0.2916217143351137,"(n,p)10B"
10B,219.4,0.2836148514208901,"(n,p)10B"
10B,6263.3,0.05908640692280619,"(n,p)10B"
11B,319.8,0.31563848986070925,"(n,p)11B"
123Xe,138.2,27.795417757800006,"(n,p)123Xe"
123Xe,414.11,8.6364610318,"(n,p)123Xe"
123Xe,474.18,5.4529937251475005,"(n,p)123Xe"
123Xe,552.31,5.0807909977825005,"(n,p)123Xe"
123Xe,670.95,4.927988728320001,"(n,p)123Xe"
123Xe,641.25,3.954893058427501,"(n,p)123Xe"
123Xe,503.05,3.7606706901925007,"(n,p)123Xe"
123Xe,330.28,2.7750953930175006,"(n,p)123Xe"
123Xe,302.2,2.6958710594725,"(n,p)123Xe"
123Xe,178.02,2.587937895725,"(n,p)123Xe"
123Xe,148.92,1.9531925564550003,"(n,p)123Xe"
123Xe,766.5,1.9122346103000003,"(n,p)123Xe"
123Xe,532.75,1.3432919693900003,"(n,p)123Xe"
123Xe,39.82,1.0959047241275002,"(n,p)123Xe"
123Xe,196.77,0.200731074096,"(n,p)123Xe"
123Xe,118.64,0.11559951106725001,"(n,p)123Xe"
123Xe,167.07,0.08732217396875,"(n,p)123Xe"
123Xe,192.08,0.035253050627725005,"(n,p)123Xe"
124Xe,55.48,28.098406551599997,"(n,p)124Xe"
124Xe,95.07,6.742386392699999,"(n,p)124Xe"
124Xe,49.92,4.94127304545,"(n,p)124Xe"
124Xe,107.91,4.57249735005,"(n,p)124Xe"
124Xe,114.11,4.36788030315,"(n,p)124Xe"
124Xe,96.38,3.13725887664,"(n,p)124Xe"
124Xe,123.04,3.0043121560199997,"(n,p)124Xe"
124Xe,250.55,2.76991649004,"(n,p)124Xe"
124Xe,107.87,2.3847994455599997,"(n,p)124Xe"
124Xe,157.79,2.3847994455599997,"(n,p)124Xe"
124Xe,61.16,1.95464311518,"(n,p)124Xe"
124Xe,87.16,0.429809608095,"(n,p)124Xe"
124Xe,184.2,0.043483270393499994,"(n,p)124Xe"
14N,6728.2,16.3581401350708,"(n,p)14N"
14N,6093.8,12.764028753914697,"(n,p)14N"
14N,7012.0,9.693538078754353,"(n,p)14N"
14N,1247.6,4.8172752620463095,"(n,p)14N"
14N,613.2,3.372092987424644,"(n,p)14N"
14N,7341.4,1.6418059543794683,"(n,p)14N"
14N,808.8,1.4428201048241724,"(n,p)14N"
14N,495.6,1.4269489697715758,"(n,p)14N"
14N,634.4,0.6108849133862448,"(n,p)14N"
14N,918.2,0.1376364718727334,"(n,p)14N"
14N,6589.4,0.015871019178990725,"(n,p)14N"
16O,297.0,29.650609526638547,"(n,p)16O"
16O,120.1,4.928116308894851,"(n,p)16O"
16O,277.4,3.9606832198508055,"(n,p)16O"
16O,397.5,1.149875338189164,"(n,p)16O"
180Ta,93.32,11.50275936888,"(n,p)180Ta"
180Ta,215.26,8.404404871005,"(n,p)180Ta"
180Ta,332.28,4.289223986774999,"(n,p)180Ta"
180Ta,443.08,1.158172401906,"(n,p)180Ta"
180Ta,1013.92,0.43266327214499994,"(n,p)180Ta"
180Ta,551.75,0.19811660824799998,"(n,p)180Ta"
180Ta,1090.0,0.10794858114104999,"(n,p)180Ta"
180Ta,1070.54,0.09193225477994998,"(n,p)180Ta"
180Ta,884.03,0.08165721903299998,"(n,p)180Ta"
180Ta,1008.58,0.044663853797549995,"(n,p)180Ta"
180Ta,874.74,0.0195032719557,"(n,p)180Ta"
180Ta,1183.32,0.0028034866524599997,"(n,p)180Ta"
181Ta,68.0,2.6342802804972507,"(n,p)181Ta"
181Ta,45.88,1.5011858911172502,"(n,p)181Ta"
181Ta,128.0,0.67004795637975,"(n,p)181Ta"
181Ta,230.0,0.67004795637975,"(n,p)181Ta"
181Ta,52.72,0.6045523642692502,"(n,p)181Ta"
181Ta,173.0,0.5735053720140001,"(n,p)181Ta"
181Ta,403.0,0.5735053720140001,"(n,p)181Ta"
181Ta,102.0,0.52974865091775,"(n,p)181Ta"
181Ta,124.12,0.52974865091775,"(n,p)181Ta"
181Ta,105.8,0.4893923563077501,"(n,p)181Ta"
181Ta,98.6,0.4115190228091001,"(n,p)181Ta"
181Ta,125.0,0.17236810284465004,"(n,p)181Ta"
181Ta,341.9,0.16593067857302504,"(n,p)181Ta"
181Ta,205.94,0.108604850271275,"(n,p)181Ta"
181Ta,153.22,0.036420299180495004,"(n,p)181Ta"
181Ta,329.4,0.029682257837220002,"(n,p)181Ta"
181Ta,158.52,0.025467028219395,"(n,p)181Ta"
181Ta,251.82,0.008675488369770001,"(n,p)181Ta"
185Re,23.56,1.2370873113627503,"(n,p)185Re"
185Re,384.0,1.1319213531889998,"(n,p)185Re"
185Re,42.32,0.98217683896425,"(n,p)185Re"
185Re,93.31,0.6792601400357501,"(n,p)185Re"
185Re,107.86,0.43410595880732494,"(n,p)185Re"
185Re,173.74,0.416616538066975,"(n,p)185Re"
185Re,65.88,0.41010066718767507,"(n,p)185Re"
185Re,69.96,0.32727370651244997,"(n,p)185Re"
185Re,236.12,0.30933969536292494,"(n,p)185Re"
185Re,114.1,0.30933969536292494,"(n,p)185Re"
185Re,94.59,0.27148836946672494,"(n,p)185Re"
185Re,187.9,0.152618794310975,"(n,p)185Re"
185Re,334.0,0.13491192078955,"(n,p)185Re"
185Re,240.69,0.13491192078955,"(n,p)185Re"
185Re,164.34,0.086718738443575,"(n,p)185Re"
185Re,122.02,0.0818234751122,"(n,p)185Re"
185Re,177.82,0.06607408874159999,"(n,p)185Re"
185Re,243.7,0.0035396682283517496,"(n,p)185Re"
185Re,150.39,0.0002927216459198,"(n,p)185Re"
187Re,77.36,2.1551985306084998,"(n,p)187Re"
187Re,201.43,0.8552791548445,"(n,p)187Re"
