Description: None
Label: None
Date created: 2026-04-21
Real time (s): None
Live time (s): None
Energy calibration: -1.3227E-01ch^0 + 8.7313E-01ch^1
counts,counts_err,Energy (keV)
0.0,1.0,-0.1322672460680573
0.0,1.0,0.7408632588189143
0.0,1.0,1.6139937637058859
0.0,1.0,2.487124268592858
0.0,1.0,3.3602547734798294
0.0,1.0,4.233385278366801
0.0,1.0,5.106515783253773
0.0,1.0,5.979646288140744
0.0,1.0,6.852776793027716
0.0,1.0,7.725907297914688
0.0,1.0,8.599037802801659
0.0,1.0,9.47216830768863
0.0,1.0,10.345298812575603
0.0,1.0,11.218429317462574
0.0,1.0,12.091559822349545
0.0,1.0,12.964690327236518
0.0,1.0,13.837820832123489
0.0,1.0,14.71095133701046
0.0,1.0,15.584081841897433
0.0,1.0,16.457212346784402
0.0,1.0,17.330342851671375
0.0,1.0,18.203473356558348
0.0,1.0,19.076603861445317
0.0,1.0,19.94973436633229
0.0,1.0,20.822864871219263
0.0,1.0,21.695995376106232
0.0,1.0,22.569125880993205
0.0,1.0,23.442256385880178
0.0,1.0,24.315386890767147
0.0,1.0,25.18851739565412
0.0,1.0,26.061647900541093
0.0,1.0,26.934778405428062
0.0,1.0,27.807908910315035
0.0,1.0,28.681039415202008
0.0,1.0,29.554169920088977
0.0,1.0,30.42730042497595
0.0,1.0,31.300430929862923
0.0,1.0,32.17356143474989
0.0,1.0,33.04669193963686
0.0,1.0,33.91982244452383
0.0,1.0,34.792952949410804
0.0,1.0,35.66608345429778
0.0,1.0,36.53921395918475
0.0,1.0,37.41234446407172
0.0,1.0,38.28547496895869
151.0,12.288205727444508,39.15860547384566
165.0,12.84523257866513,40.031735978732634
163.0,12.767145334803704,40.90486648361961
195.0,13.96424004376894,41.77799698850658
159.0,12.609520212918492,42.65112749339355
162.0,12.727922061357855,43.52425799828052
160.0,12.649110640673518,44.39738850316749
146.0,12.083045973594572,45.270519008054464
171.0,13.076696830622021,46.14364951294144
165.0,12.84523257866513,47.01678001782841
167.0,12.922847983320086,47.88991052271538
194.0,13.92838827718412,48.76304102760235
202.0,14.212670403551895,49.63617153248932
188.0,13.711309200802088,50.509302037376294
207.0,14.38749456993816,51.38243254226327
212.0,14.560219778561036,52.25556304715024
222.0,14.89966442575134,53.12869355203721
224.0,14.966629547095765,54.00182405692418
242.0,15.556349186104045,54.87495456181115
240.0,15.491933384829668,55.748085066698124
227.0,15.066519173319364,56.6212155715851
228.0,15.0996688705415,57.49434607647207
216.0,14.696938456699069,58.367476581359035
228.0,15.0996688705415,59.24060708624601
225.0,15.0,60.11373759113298
246.0,15.684387141358123,60.986868096019954
220.0,14.832396974191326,61.85999860090693
244.0,15.620499351813308,62.7331291057939
234.0,15.297058540778355,63.606259610680866
260.0,16.1245154965971,64.47939011556785
263.0,16.217274740226856,65.35252062045483
269.0,16.401219466856727,66.22565112534178
281.0,16.76305461424021,67.09878163022876
249.0,15.7797338380595,67.97191213511573
263.0,16.217274740226856,68.8450426400027
252.0,15.874507866387544,69.71817314488968
283.0,16.822603841260722,70.59130364977665
299.0,17.291616465790582,71.46443415466362
281.0,16.76305461424021,72.3375646595506
270.0,16.431676725154983,73.21069516443757
287.0,16.941074346097416,74.08382566932454
269.0,16.401219466856727,74.95695617421151
311.0,17.635192088548397,75.83008667909849
269.0,16.401219466856727,76.70321718398544
298.0,17.26267650163207,77.57634768887242
276.0,16.61324772583615,78.44947819375939
296.0,17.204650534085253,79.32260869864636
288.0,16.97056274847714,80.19573920353334
287.0,16.941074346097416,81.06886970842031
304.0,17.435595774162696,81.94200021330728
288.0,16.97056274847714,82.81513071819425
317.0,17.804493814764857,83.68826122308123
296.0,17.204650534085253,84.5613917279682
294.0,17.146428199482248,85.43452223285517
321.0,17.916472867168917,86.30765273774213
294.0,17.146428199482248,87.1807832426291
291.0,17.05872210923198,88.05391374751608
326.0,18.05547008526779,88.92704425240305
293.0,17.11724276862369,89.80017475729002
306.0,17.4928556845359,90.673305262177
307.0,17.52141546793523,91.54643576706397
295.0,17.175564037317667,92.41956627195094
285.0,16.881943016134134,93.29269677683791
351.0,18.734993995195193,94.16582728172489
324.0,18.0,95.03895778661186
311.0,17.635192088548397,95.91208829149883
330.0,18.16590212458495,96.78521879638579
327.0,18.083141320025124,97.65834930127276
304.0,17.435595774162696,98.53147980615974
293.0,17.11724276862369,99.40461031104671
303.0,17.406895185529212,100.27774081593368
283.0,16.822603841260722,101.15087132082066
331.0,18.193405398660254,102.02400182570763
304.0,17.435595774162696,102.8971323305946
314.0,17.72004514666935,103.77026283548157
329.0,18.138357147217054,104.64339334036855
317.0,17.804493814764857,105.51652384525552
287.0,16.941074346097416,106.3896543501425
315.0,17.74823934929885,107.26278485502945
315.0,17.74823934929885,108.13591535991642
293.0,17.11724276862369,109.0090458648034
328.0,18.110770276274835,109.88217636969037
274.0,16.55294535724685,110.75530687457734
288.0,16.97056274847714,111.62843737946432
321.0,17.916472867168917,112.50156788435129
315.0,17.74823934929885,113.37469838923826
329.0,18.138357147217054,114.24782889412523
309.0,17.578395831246947,115.12095939901221
315.0,17.74823934929885,115.99408990389918
306.0,17.4928556845359,116.86722040878614
350.0,18.708286933869708,117.74035091367311
313.0,17.69180601295413,118.61348141856008
286.0,16.911534525287763,119.48661192344706
296.0,17.204650534085253,120.35974242833403
326.0,18.05547008526779,121.232872933221
293.0,17.11724276862369,122.10600343810798
306.0,17.4928556845359,122.97913394299495
299.0,17.291616465790582,123.85226444788192
341.0,18.466185312619388,124.7253949527689
310.0,17.60681686165901,125.59852545765587
321.0,17.916472867168917,126.47165596254284
316.0,17.776388834631177,127.3447864674298
303.0,17.406895185529212,128.21791697231677
313.0,17.69180601295413,129.09104747720374
297.0,17.233687939614086,129.96417798209072
333.0,18.24828759089466,130.8373084869777
362.0,19.026297590440446,131.71043899186466
318.0,17.832554500127006,132.5835694967516
315.0,17.74823934929885,133.45670000163858
314.0,17.72004514666935,134.32983050652555
314.0,17.72004514666935,135.20296101141253
312.0,17.663521732655695,136.0760915162995
299.0,17.291616465790582,136.94922202118647
301.0,17.349351572897472,137.82235252607344
331.0,18.193405398660254,138.69548303096042
332.0,18.2208671582886,139.5686135358474
313.0,17.69180601295413,140.44174404073436
296.0,17.204650534085253,141.31487454562134
317.0,17.804493814764857,142.1880050505083
301.0,17.349351572897472,143.06113555539528
301.0,17.349351572897472,143.93426606028225
298.0,17.26267650163207,144.80739656516923
283.0,16.822603841260722,145.6805270700562
345.0,18.57417562100671,146.55365757494317
295.0,17.175564037317667,147.42678807983015
301.0,17.349351572897472,148.29991858471712
296.0,17.204650534085253,149.1730490896041
290.0,17.029386365926403,150.04617959449106
311.0,17.635192088548397,150.91931009937804
307.0,17.52141546793523,151.792440604265
272.0,16.492422502470642,152.66557110915195
314.0,17.72004514666935,153.53870161403893
302.0,17.378147196982766,154.4118321189259
268.0,16.3707055437449,155.28496262381287
286.0,16.911534525287763,156.15809312869985
285.0,16.881943016134134,157.03122363358682
300.0,17.320508075688775,157.9043541384738
278.0,16.673332000533065,158.77748464336076
298.0,17.26267650163207,159.65061514824774
301.0,17.349351572897472,160.5237456531347
262.0,16.186414056238647,161.39687615802168
263.0,16.217274740226856,162.27000666290866
275.0,16.583123951777,163.14313716779563
267.0,16.34013463836819,164.0162676726826
285.0,16.881943016134134,164.88939817756957
282.0,16.792855623746664,165.76252868245655
273.0,16.522711641858304,166.63565918734352
268.0,16.3707055437449,167.5087896922305
270.0,16.431676725154983,168.38192019711747
266.0,16.30950643030009,169.25505070200444
277.0,16.64331697709324,170.1281812068914
256.0,16.0,171.00131171177838
261.0,16.15549442140351,171.87444221666536
241.0,15.524174696260024,172.7475727215523
271.0,16.46207763315433,173.62070322643928
265.0,16.278820596099706,174.49383373132625
302.0,17.378147196982766,175.36696423621322
244.0,15.620499351813308,176.2400947411002
299.0,17.291616465790582,177.11322524598717
304.0,17.435595774162696,177.98635575087414
255.0,15.968719422671311,178.8594862557611
285.0,16.881943016134134,179.73261676064809
259.0,16.09347693943108,180.60574726553506
262.0,16.186414056238647,181.47887777042203
278.0,16.673332000533065,182.352008275309
255.0,15.968719422671311,183.22513878019598
288.0,16.97056274847714,184.09826928508295
259.0,16.09347693943108,184.97139978996992
